ČÍSLO FAKTURY;IČO SPOLEČNOSTI;ČÁSTKA (V CELÝCH KČ)
190000;18581928;1926695
190001;33828139;-14823
190002;01846359;1547664
190003;9831829;1949455
190004;02838109;329226
190005;33828139;192679
190006;18539217;1658709
190007;9831829;2369880
190008;05159822;2497434
190009;18539217;458592
190010;33828139;1214326
190011;67821984;1089483
190012;9831829;133067
190013;01846359;2078905
190014;67821984;2603965
190015;33828139;1080498
190016;18581928;242850
190017;05159822;2037086
190018;01846359;1948573
190019;05159822;1636266
190020;18539217;600691
190021;33828139;2650525
190022;9831829;1073079
190023;92019399;775297
190024;9831829;1673907
190025;18539217;1056507
190026;33828139;1729967
190027;18539217;130750
190028;18581928;237806
190029;18539217;2464243
190030;18539217;1927771
190031;02838109;2127607
190032;18539217;1033933
190033;05159822;277147
190034;01846359;2019575
190035;05159822;1080629
190036;01846359;455972
190037;92019399;2494484
190038;67821984;831469
190039;18539217;1194159
190040;05159822;2924268
190041;06230932;101091
190042;06230932;1921022
190043;67821984;2553571
190044;02838109;34446
190045;67821984;303568
190046;33828139;1244796
190047;9831829;2541771
190048;05159822;458856
190049;33828139;625850
190050;05159822;2529298
190051;05159822;1533045
190052;33828139;2000254
190053;18581928;2314838
190054;02838109;1420161
190055;33828139;2731793
190056;05159822;1679594
190057;92019399;607974
190058;06230932;2687904
190059;05159822;-1984
190060;9831829;2699342
190061;92019399;2292771
190062;92019399;1037409
190063;33828139;125963
190064;02838109;150152
190065;67821984;2435
190066;18581928;2072405
190067;18581928;1108292
190068;18539217;586974
190069;9831829;1881408
190070;06230932;2863394
190071;33828139;1716257
190072;06230932;1573612
190073;67821984;1755461
190074;02838109;874909
190075;92019399;1956642
190076;33828139;2717472
190077;18581928;1082413
190078;33828139;2653566
190079;02838109;765340
190080;02838109;1775384
190081;92019399;576791
190082;02838109;449060
190083;18539217;1638610
190084;92019399;1276782
190085;18581928;2592966
190086;67821984;1527590
190087;33828139;430561
190088;02838109;1329534
190089;06230932;1888881
190090;9831829;304415
190091;06230932;1291189
190092;18581928;2905253
190093;02838109;2766657
190094;05159822;1258469
190095;05159822;2763387
190096;18539217;112900
190097;9831829;2115455
190098;67821984;2483928
190099;92019399;2001824
190100;18539217;2646084
190101;18581928;1732601
190102;05159822;264911
190103;01846359;2200637
190104;92019399;838489
190105;06230932;205825
190106;9831829;323962
190107;01846359;2450960
190108;18539217;2825128
190109;18581928;1340453
190110;67821984;1336094
190111;01846359;2760059
190112;67821984;2529612
190113;06230932;453639
190114;01846359;152357
190115;92019399;531539
190116;33828139;2578560
190117;33828139;862221
190118;9831829;1801835
190119;33828139;2380014
190120;67821984;2823462
190121;05159822;1155215
190122;67821984;1343051
190123;02838109;1871942
190124;05159822;1746609
190125;18581928;2666411
190126;18581928;2369791
190127;02838109;2453493
190128;9831829;2862346
190129;18539217;489512
190130;18581928;817314
190131;06230932;1215977
190132;18539217;643372
190133;18539217;2595050
190134;33828139;2674387
190135;33828139;528760
190136;18539217;2282589
190137;33828139;931930
190138;18539217;185788
190139;92019399;33844
190140;18539217;751926
190141;92019399;1467424
190142;18581928;2307570
190143;9831829;2293467
190144;92019399;2098511
190145;05159822;1348713
190146;06230932;1109778
190147;18539217;584366
190148;92019399;1177242
190149;18581928;2136440
190150;9831829;281196
190151;92019399;2165341
190152;18581928;234542
190153;18581928;425830
190154;92019399;894658
190155;18581928;2263143
190156;18539217;2435874
190157;33828139;1236423
190158;06230932;1589495
190159;67821984;977783
190160;9831829;2401872
190161;18581928;2401635
190162;18539217;2244195
190163;9831829;432874
190164;06230932;1576075
190165;33828139;2522167
190166;33828139;686557
190167;92019399;2077629
190168;33828139;242503
190169;18581928;1211992
190170;05159822;2108698
190171;02838109;381809
190172;01846359;1180962
190173;33828139;376316
190174;9831829;2679511
190175;05159822;960401
190176;18539217;1260006
190177;67821984;2504661
190178;01846359;322263
190179;67821984;859229
190180;06230932;1210069
190181;02838109;998884
190182;01846359;2669786
190183;02838109;269383
190184;92019399;2835853
190185;05159822;1848853
190186;05159822;1174771
190187;33828139;128621
190188;01846359;1061502
190189;01846359;1817114
190190;01846359;929816
190191;01846359;2782680
190192;33828139;668877
190193;33828139;2679175
190194;33828139;566778
190195;06230932;1958693
190196;06230932;1884222
190197;02838109;1165155
190198;9831829;1648743
190199;06230932;604746
190200;06230932;1989028
190201;67821984;1597837
190202;67821984;1065782
190203;02838109;2806284
190204;9831829;907167
190205;18539217;1645046
190206;18581928;884046
190207;18581928;2021177
190208;01846359;2852953
190209;33828139;924195
190210;18539217;85491
190211;05159822;2944630
190212;18539217;593811
190213;06230932;2142950
190214;9831829;1185927
190215;06230932;478440
190216;92019399;593698
190217;06230932;1194259
190218;92019399;911250
190219;05159822;2175270
190220;02838109;210487
190221;02838109;1250910
190222;02838109;2301543
190223;67821984;431398
190224;01846359;1015171
190225;01846359;2461480
190226;18581928;200076
190227;18539217;879598
190228;92019399;1530567
190229;67821984;2591610
190230;06230932;1933473
190231;05159822;619639
190232;9831829;1459931
190233;9831829;2570648
190234;18539217;2261035
190235;18581928;205537
190236;9831829;1849511
190237;18581928;2933634
190238;05159822;554890
190239;18539217;904882
190240;02838109;2177082
190241;06230932;2051218
190242;01846359;1524457
190243;67821984;1658191
190244;92019399;87824
190245;06230932;535277
190246;02838109;2220514
190247;92019399;2990873
190248;05159822;1309298
190249;67821984;1722823
190250;01846359;1654873
190251;18581928;2736706
190252;01846359;1469542
190253;05159822;2629263
190254;67821984;305124
190255;01846359;818005
190256;92019399;2946519
190257;92019399;481725
190258;18581928;2792201
190259;05159822;120049
190260;9831829;2556287
190261;18539217;993735
190262;18581928;2689392
190263;18581928;1783048
190264;9831829;743422
190265;33828139;1811865
190266;05159822;417685
190267;05159822;2494527
190268;92019399;2425152
190269;33828139;1720075
190270;92019399;1754031
190271;67821984;352092
190272;06230932;441750
190273;33828139;468583
190274;67821984;1454344
190275;92019399;2499903
190276;33828139;2290402
190277;33828139;73990
190278;18539217;2475487
190279;18581928;492304
190280;01846359;554477
190281;9831829;2025463
190282;05159822;731170
190283;06230932;2126381
190284;9831829;2820292
190285;02838109;157860
190286;01846359;1149264
190287;05159822;1406214
190288;18581928;896813
190289;06230932;857922
190290;18539217;1612050
190291;02838109;786567
190292;02838109;1865559
190293;67821984;55205
190294;67821984;1451395
190295;02838109;2173222
190296;05159822;2512162
190297;9831829;2826416
190298;92019399;2295601
190299;33828139;2722573
190300;67821984;2038338
190301;33828139;154938
190302;67821984;1107644
190303;33828139;1431713
190304;92019399;2636691
190305;01846359;2977098
190306;67821984;2503522
190307;02838109;2384254
190308;05159822;2206833
190309;05159822;647996
190310;01846359;2760245
190311;67821984;357867
190312;67821984;1849508
190313;02838109;2651827
190314;18581928;1706203
190315;01846359;78239
190316;18539217;2512066
190317;06230932;1054775
190318;06230932;2613254
190319;02838109;2758225
190320;67821984;1785009
190321;9831829;1885791
190322;18581928;1325742
190323;33828139;2118356
190324;92019399;1157945
190325;33828139;2740690
190326;18581928;1414937
190327;01846359;2347338
190328;18581928;2373875
190329;67821984;1057735
190330;02838109;2312140
190331;33828139;606909
190332;18539217;2101121
190333;9831829;2045254
190334;9831829;1302557
190335;9831829;2275179
190336;33828139;1916941
190337;06230932;40163
190338;67821984;2364470
190339;06230932;2494306
190340;05159822;1196701
190341;06230932;2428989
190342;18539217;2546656
190343;67821984;810719
190344;05159822;931753
190345;01846359;1631846
190346;67821984;2193726
190347;05159822;179069
190348;67821984;2804447
190349;92019399;1809898
190350;33828139;1651313
190351;02838109;762609
190352;02838109;484900
190353;18539217;1605518
190354;18581928;2870511
190355;33828139;1467849
190356;02838109;1388750
190357;02838109;860920
190358;18581928;2203606
190359;33828139;992046
190360;9831829;129569
190361;01846359;722606
190362;18539217;2299911
190363;01846359;1553612
190364;18539217;2177131
190365;01846359;2171985
190366;01846359;1278198
190367;02838109;40822
190368;01846359;2056843
190369;05159822;2469878
190370;01846359;2417393
190371;01846359;1452677
190372;92019399;2274838
190373;33828139;2162370
190374;06230932;1795708
190375;06230932;359319
190376;05159822;349222
190377;9831829;-19288
190378;18539217;2786690
190379;06230932;631805
190380;92019399;1204835
190381;9831829;-18341
190382;01846359;2614605
190383;9831829;1348077
190384;05159822;203023
190385;33828139;1789948
190386;18581928;1932059
190387;02838109;2549474
190388;9831829;2603945
190389;33828139;1933375
190390;18539217;2475745
190391;67821984;2275179
190392;06230932;2724371
190393;02838109;1964615
190394;06230932;220000
190395;92019399;2049990
190396;18581928;1235171
190397;33828139;1487880
190398;18539217;676234
190399;33828139;36215
190400;05159822;2096331
190401;05159822;2757997
190402;92019399;1479501
190403;67821984;155115
190404;02838109;1350911
190405;01846359;2025998
190406;92019399;205951
190407;67821984;1991634
190408;02838109;1671764
190409;33828139;380558
190410;33828139;1015799
190411;33828139;1438627
190412;92019399;2298842
190413;9831829;314974
190414;67821984;2961457
190415;06230932;1184819
190416;05159822;228944
190417;33828139;567168
190418;05159822;744242
190419;02838109;1585495
190420;18539217;125429
190421;92019399;1418002
190422;06230932;1424650
190423;18581928;2960263
190424;67821984;1919391
190425;92019399;-13474
190426;18539217;2468525
190427;05159822;1176705
190428;18581928;1995526
190429;18539217;2278989
190430;01846359;2931954
190431;02838109;532795
190432;06230932;333702
190433;18539217;2296487
190434;06230932;1416589
190435;67821984;991879
190436;05159822;1598479
190437;01846359;1388568
190438;18581928;378710
190439;92019399;1657840
190440;92019399;5567
190441;05159822;687240
190442;02838109;2176277
190443;02838109;2155785
190444;02838109;2858639
190445;01846359;214531
190446;06230932;221775
190447;67821984;2897096
190448;18581928;314844
190449;06230932;132571
190450;02838109;1471829
190451;67821984;1834300
190452;02838109;814026
190453;18581928;1950603
190454;06230932;448314
190455;06230932;2511575
190456;67821984;204341
190457;01846359;1543250
190458;67821984;231163
190459;92019399;2469482
190460;67821984;1114762
190461;06230932;1646487
190462;02838109;556049
190463;01846359;447945
190464;18581928;2779087
190465;33828139;2298948
190466;9831829;1490270
190467;06230932;227744
190468;02838109;1935534
190469;33828139;1144889
190470;33828139;2584565
190471;06230932;2357136
190472;06230932;2462564
190473;18581928;2858099
190474;92019399;1455816
190475;18581928;114325
190476;06230932;2413480
190477;01846359;2291041
190478;67821984;2595509
190479;67821984;858418
190480;9831829;1054860
190481;18539217;1126510
190482;18581928;1221552
190483;67821984;54246
190484;18539217;2834405
190485;01846359;1039851
190486;92019399;1812618
190487;67821984;359616
190488;18539217;2344226
190489;67821984;897336
190490;18581928;489891
190491;18539217;300595
190492;05159822;1059384
190493;9831829;64805
190494;06230932;937672
190495;9831829;649479
190496;92019399;804785
190497;06230932;2829649
190498;92019399;2768548
190499;05159822;2288919
190500;01846359;2027042
190501;06230932;1156499
190502;06230932;1246043
190503;02838109;371664
